Skill,Ubicacion_anterior,Ubicacion_final,Estado,Motivo
bitwarden-automation,.claude/skills/bitwarden-automation,.claude/skill-library-archive/integrations/bitwarden-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
blackbaud-automation,.claude/skills/blackbaud-automation,.claude/skill-library-archive/integrations/blackbaud-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
blackboard-automation,.claude/skills/blackboard-automation,.claude/skill-library-archive/integrations/blackboard-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
blindspot-pass,.claude/skills/blindspot-pass,.claude/skill-library-archive/experimental/blindspot-pass,archivada,Skill experimental/especializada no prioritaria para la fase MVP.
block-no-verify-hook,.claude/skills/block-no-verify-hook,.claude/skill-library-archive/experimental/block-no-verify-hook,archivada,Skill experimental/especializada no prioritaria para la fase MVP.
blocknative-automation,.claude/skills/blocknative-automation,.claude/skill-library-archive/integrations/blocknative-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
board-deck-builder,.claude/skills/board-deck-builder,.claude/skill-library-archive/unreviewed/board-deck-builder,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
board-meeting,.claude/skills/board-meeting,.claude/skill-library-archive/unreviewed/board-meeting,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
board-prep,.claude/skills/board-prep,.claude/skill-library-archive/unreviewed/board-prep,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
board,.claude/skills/board,.claude/skill-library-archive/unreviewed/board,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
boardroom,.claude/skills/boardroom,.claude/skill-library-archive/unreviewed/boardroom,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
boldsign-automation,.claude/skills/boldsign-automation,.claude/skill-library-archive/integrations/boldsign-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
bolna-automation,.claude/skills/bolna-automation,.claude/skill-library-archive/integrations/bolna-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
boloforms-automation,.claude/skills/boloforms-automation,.claude/skill-library-archive/integrations/boloforms-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
bolt-iot-automation,.claude/skills/bolt-iot-automation,.claude/skill-library-archive/integrations/bolt-iot-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
bonsai-automation,.claude/skills/bonsai-automation,.claude/skill-library-archive/integrations/bonsai-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
bookingmood-automation,.claude/skills/bookingmood-automation,.claude/skill-library-archive/integrations/bookingmood-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
booqable-automation,.claude/skills/booqable-automation,.claude/skill-library-archive/integrations/booqable-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
borneo-automation,.claude/skills/borneo-automation,.claude/skill-library-archive/integrations/borneo-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
botbaba-automation,.claude/skills/botbaba-automation,.claude/skill-library-archive/integrations/botbaba-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
botpress-automation,.claude/skills/botpress-automation,.claude/skill-library-archive/integrations/botpress-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
botsonic-automation,.claude/skills/botsonic-automation,.claude/skill-library-archive/integrations/botsonic-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
botstar-automation,.claude/skills/botstar-automation,.claude/skill-library-archive/integrations/botstar-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
bouncer-automation,.claude/skills/bouncer-automation,.claude/skill-library-archive/integrations/bouncer-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
boxhero-automation,.claude/skills/boxhero-automation,.claude/skill-library-archive/integrations/boxhero-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
brainstorm-prototypes,.claude/skills/brainstorm-prototypes,.claude/skill-library-archive/integrations/brainstorm-prototypes,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
braintree-automation,.claude/skills/braintree-automation,.claude/skill-library-archive/integrations/braintree-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
brand-guidelines,.claude/skills/brand-guidelines,.claude/skill-library-archive/marketing/brand-guidelines,archivada,Skill de marketing/ventas/publicidad fuera del alcance del MVP técnico de trading.
brand-landingpage,.claude/skills/brand-landingpage,.claude/skill-library-archive/marketing/brand-landingpage,archivada,Skill de marketing/ventas/publicidad fuera del alcance del MVP técnico de trading.
brandfetch-automation,.claude/skills/brandfetch-automation,.claude/skill-library-archive/marketing/brandfetch-automation,archivada,Skill de marketing/ventas/publicidad fuera del alcance del MVP técnico de trading.
breeze-automation,.claude/skills/breeze-automation,.claude/skill-library-archive/integrations/breeze-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
breezy-hr-automation,.claude/skills/breezy-hr-automation,.claude/skill-library-archive/integrations/breezy-hr-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
brex-automation,.claude/skills/brex-automation,.claude/skill-library-archive/integrations/brex-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
brex-staging-automation,.claude/skills/brex-staging-automation,.claude/skill-library-archive/integrations/brex-staging-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
brief,.claude/skills/brief,.claude/skill-library-archive/unreviewed/brief,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
brightdata-automation,.claude/skills/brightdata-automation,.claude/skill-library-archive/integrations/brightdata-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
brightpearl-automation,.claude/skills/brightpearl-automation,.claude/skill-library-archive/integrations/brightpearl-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
brilliant-directories-automation,.claude/skills/brilliant-directories-automation,.claude/skill-library-archive/integrations/brilliant-directories-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
broken-link-checker,.claude/skills/broken-link-checker,.claude/skill-library-archive/integrations/broken-link-checker,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
browseai-automation,.claude/skills/browseai-automation,.claude/skill-library-archive/integrations/browseai-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
browser-automation,.claude/skills/browser-automation,.claude/skill-library-archive/unreviewed/browser-automation,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
browser-tool-automation,.claude/skills/browser-tool-automation,.claude/skill-library-archive/integrations/browser-tool-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
browserbase-tool-automation,.claude/skills/browserbase-tool-automation,.claude/skill-library-archive/integrations/browserbase-tool-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
browserhub-automation,.claude/skills/browserhub-automation,.claude/skill-library-archive/integrations/browserhub-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
browserless-automation,.claude/skills/browserless-automation,.claude/skill-library-archive/integrations/browserless-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
